latitude,longitude,polarity
53.475555,-2.250278,0.0
53.475555,-2.250278,0.0
53.475652,-2.250492,0.0
53.474554,-2.249032,0.1
53.473952,-2.256445,0.0
53.474133,-2.25655,0.0
53.474455,-2.258103,0.0
53.474413,-2.258406,0.0
53.474505,-2.249089,0.0
53.474535,-2.249193,0.0
53.474535,-2.249193,0.0
53.47715,-2.254098,0.31
53.47715,-2.254098,0.3385416666666667
53.47715,-2.254098,0.0
53.47715,-2.254098,0.2
53.473443,-2.256113,0.0
53.475161,-2.256398,-0.1
53.47523,-2.256237,0.4166666666666667
53.476157,-2.253677,0.16666666666666669
53.474554,-2.256585,0.0
53.473884,-2.253366,-0.09928571428571428
53.474912,-2.25696,-0.125
53.474497,-2.255745,0.0
53.47602,-2.256165,0.0
53.474247,-2.256543,0.0
53.47826,-2.259537,0.0
53.474894,-2.251828,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475164,-2.254892,0.0
53.475563,-2.250484,0.0
53.475566,-2.250345,0.0
53.476444,-2.256373,0.16153846153846155
53.475308,-2.251253,0.0
53.47654,-2.253688,-0.16666666666666666
53.475551,-2.256113,0.0
53.475602,-2.256628,0.0
53.475602,-2.256628,0.0
53.474548,-2.257894,0.0
53.474676,-2.256875,0.0
