latitude,longitude
53.474692,-2.256124
53.475014,-2.250217
53.475921,-2.251821
53.47686,-2.256628
53.478488,-2.250969
53.474631,-2.25136
53.474631,-2.25136
53.474535,-2.252068
53.474979,-2.25165
53.474979,-2.25165
53.476669,-2.258891
53.476188,-2.253319
53.476188,-2.253319
53.476509,-2.25688
53.476975,-2.257851
53.478,-2.249833
53.474446,-2.251725
53.474554,-2.2521
53.475656,-2.25092
53.474338,-2.252484
53.474338,-2.252484
53.474338,-2.252484
53.474338,-2.252484
53.474338,-2.252484
53.474338,-2.252484
53.474338,-2.252484
53.474338,-2.252484
53.474816,-2.25622
53.474778,-2.251542
53.474778,-2.251542
53.474778,-2.251542
53.475448,-2.258484
53.473143,-2.256596
53.478018,-2.250378
53.475059,-2.251199
53.475059,-2.251199
53.475059,-2.251199
53.475059,-2.251199
53.475059,-2.251199
53.475059,-2.251199
53.475059,-2.251199
53.475059,-2.251199
53.475059,-2.251199
53.475059,-2.251199
53.474778,-2.251542
53.475059,-2.251199
53.475059,-2.251199
53.475059,-2.251199
53.474369,-2.252444
53.474344,-2.255619
53.474938,-2.256242
53.474938,-2.256242
53.478098,-2.249429
53.474625,-2.249579
53.474625,-2.249579
53.476189,-2.253066
53.476189,-2.253066
53.473259,-2.255716
53.474602,-2.255485
53.4739,-2.257373
53.4739,-2.257373
53.4739,-2.257373
53.4739,-2.257373
53.4739,-2.257373
53.478098,-2.249
53.478098,-2.249
53.475908,-2.251907
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474369,-2.251843
53.474392,-2.25225
53.476304,-2.254042
53.476304,-2.254042
53.476304,-2.254042
53.476304,-2.254042
53.476304,-2.254042
53.476304,-2.254042
53.476304,-2.254042
53.476304,-2.254042
53.476304,-2.254042
53.476304,-2.254042
53.476304,-2.254042
53.476304,-2.254042
53.476304,-2.254042
53.476304,-2.254042
53.476304,-2.254042
53.476304,-2.254042
53.476304,-2.254042
53.476304,-2.254042
53.476304,-2.254042
53.476304,-2.254042
53.476304,-2.254042
53.476304,-2.254042
53.474516,-2.255662
53.474816,-2.25622
53.477051,-2.255002
53.47792,-2.25431
53.474791,-2.256274
53.476285,-2.2496
53.476285,-2.2496
53.473686,-2.250984
53.474583,-2.255877
53.474583,-2.255877
53.474523,-2.25239
53.474523,-2.25239
