polarity,keywords
-0.09791666666666665,"original, crazy, half"
0.17777777777777778,"best, negative, black"
0.2222222222222222,"nice, down"
0.39583333333333337,"best, black"
0.25,magic
0.40625,"little, perfect"
0.25,handsome
0.65,"proud, more"
-0.13333333333333333,round
0.5,"light, liked"
0.13636363636363635,live
0.1,nearly
0.5,perfect
0.3766666666666667,"round, pleasant, very"
-0.39999999999999997,"twisted, heavy"
-0.06538461538461539,"near, raw"
0.1875,first
0.09475405546834118,"modern, raw, vital, right, easily, other"
0.12402972027972026,"capable, raw, fixed, primarily, many, mainly, originally, typical, own, usually, great, live"
0.06415979853479854,"modern, raw, vital, right, easily, ruins, other"
0.18333333333333335,"true, first"
0.25,"old, important"
-0.08333333333333333,black
-0.16666666666666666,hidden
0.3055555555555555,"more, vibrant"
-0.06666666666666668,"behind, old"
0.03125,major
0.175,"nice, sure"
0.1,"old, young"
0.3145833333333333,"old, nicely, fine, much, liked, comic, original"
0.3311363636363636,"greater, new, more, many, great, other"
1.0,great
-0.009999999999999998,"old, near, sure"
0.028124999999999997,"due, available, first"
0.13766233766233765,"new, old, certainly"
0.48214285714285715,"certainly, nicely"
0.27499999999999997,"pretty, lovely, very"
0.5,many
0.3347727272727273,"welcome, modern, old, unique, impressive, new, love"
-0.25,alien
0.3023376623376623,"modern, old, nicely, new, great, very"
0.2125,"black, full"
-0.2,dead
0.17115384615384618,"more, importantly, long, success, great, other, filled"
-0.1763888888888889,"tired, down, dark"
0.10518707482993195,"idiots, large, early, luckily, other, pleasant"
0.5,"more, happy"
0.3169642857142857,"certainly, happy, very"
0.5,"happy, very"
0.21666666666666665,"few, beautiful"
0.11481481481481481,down
0.11481481481481481,"more, down"
0.06977777777777779,"high, more, down"
0.005055555555555552,"little, high, particular, down"
0.1755952380952381,"limited, top, lovely"
0.19523809523809524,"gorgeous, lovely, classic"
0.014409722222222218,"other, little, smile, classic"
0.24404761904761904,"pretty, certainly, impressive"
0.47000000000000003,"true, appropriate, best"
0.17414965986394557,"top, far, right, classic"
0.271,"gorgeous, kindly, due, very"
0.39444444444444443,"least, many, classic, nice, really"
0.14444444444444446,"love, very, classic"
0.27346938775510204,"greater, bright, able, large"
0.35555555555555557,"clean, lovely, very"
0.36111111111111116,"excellent, lovely, least, classic, lovingly, really"
0.33055555555555555,"clean, many"
0.25,top
0.275,"interesting, rose"
0.0875,"original, few"
-0.05,round
0.42857142857142855,"large, spectacular, wide, best"
0.25,"spectacular, wide"
0.3180555555555556,"hard, many, rose, love"
0.46875,"ok, first"
0.5,favorite
0.15,"few, more"
0.25,ready
0.1,wild
0.12329545454545453,"'good, directly, interesting, few, good, wet, enthusiastic, random, originally, cold, dark, general, hard, full, pleasant, fun, really, horrible"
0.3071428571428571,"little, more, great, beautiful"
0.2453125,"little, more, great, beautiful"
0.025722789115646256,"behind, reasonable, large, full, clear, dark, little, light, previous"
-0.0625,other
-0.0016666666666666746,"few, first, unfortunately, subject, wide, ill, nice"
-0.013392857142857146,"large, wet, cold, other, nice"
0.1977249236551562,"impressive, down, top, great, love, really, fairly, near, ok, few, happy, good, high, more, sad, sure, pretty, available, own, live, light, interested, little, excellent, new, difficult, firstly"
0.3342361111111111,"first, down, kindly, light, very"
0.1764423076923077,"most, greater, becoming, major, largely, first, near, developed, foreign, astonishing, plain"
0.2572727272727272,"old, new, reasonably, beautiful, very"
0.100625,"rare, dark, other, nice, very"
-0.1607142857142857,"alien, limited"
0.325,"concrete, more"
-0.08452380952380951,"able, pretty, slightly, round, thick, stupid"
-0.23076923076923078,raw
0.12000000000000002,"modern, behind, many, sure, great"
-0.5,failed
0.5,better
-0.03333333333333333,toilet
-0.5,weird
0.2333333333333333,"far, own"
-0.05,long
0.14285714285714285,right
1.0,happy
0.025,near
-0.15277777777777776,"other, previous"
0.09791666666666667,"other, long, better"
0.05,old
-0.1,unknown
