latitude,longitude
53.474019,-2.2557
53.474186,-2.253137
53.474019,-2.2557
53.474552,-2.251956
53.474552,-2.251956
53.476555,-2.239575
53.476586,-2.246404
53.475015,-2.256424
53.475015,-2.256424
53.474794,-2.250546
53.474794,-2.250546
53.474794,-2.250546
53.474829,-2.256596
53.475015,-2.256424
53.475891,-2.256987
53.475586,-2.257189
53.474472,-2.2484
53.47623,-2.238012
53.479541,-2.226727
53.483034,-2.223883
53.483034,-2.223883
53.480869,-2.229924
53.479477,-2.226598
53.478188,-2.257808
53.478188,-2.257808
53.478188,-2.257808
53.478188,-2.257808
53.478188,-2.257808
53.478188,-2.257808
53.478188,-2.257808
53.478188,-2.257808
53.478188,-2.257808
53.478188,-2.257808
53.478188,-2.257808
53.478188,-2.257808
53.478188,-2.257808
53.478188,-2.257808
53.478188,-2.257808
53.478188,-2.257808
53.478188,-2.257808
53.478188,-2.257808
53.478188,-2.257808
53.478188,-2.257808
53.474056,-2.253161
53.474056,-2.253161
53.474848,-2.257678
53.474056,-2.253161
53.484572,-2.244106
53.48528,-2.243752
53.482503,-2.246541
53.474918,-2.25623
53.474439,-2.256594
53.474848,-2.257678
53.474848,-2.257678
53.474848,-2.257678
53.474848,-2.257678
53.475608,-2.253472
53.470388,-2.290998
53.470383,-2.291014
53.470391,-2.290989
53.470416,-2.290917
53.470672,-2.294645
53.470641,-2.29462
53.470552,-2.294539
53.470505,-2.294498
53.470494,-2.294487
53.4705,-2.294495
53.470491,-2.294487
53.470486,-2.294481
53.470083,-2.292495
53.470086,-2.292498
53.470077,-2.292489
53.470069,-2.292481
53.470058,-2.292467
53.469947,-2.292464
53.469947,-2.292464
53.469947,-2.292464
53.469902,-2.292623
53.469902,-2.293078
53.4699,-2.293075
53.469827,-2.293564
53.469869,-2.2941
53.469894,-2.294695
53.469933,-2.294864
53.469947,-2.294906
53.470008,-2.29515
53.46995,-2.295281
53.469861,-2.295442
53.469861,-2.295442
53.4696,-2.295731
53.469341,-2.295984
53.46935,-2.295992
53.469361,-2.296006
53.46938,-2.296023
53.469375,-2.29602
53.469383,-2.296028
53.469502,-2.296364
53.469538,-2.29647
53.46978,-2.297056
53.469786,-2.297073
53.469841,-2.297284
53.470055,-2.298139
53.470372,-2.298695
53.470377,-2.298698
53.470377,-2.298698
53.470747,-2.299959
53.470441,-2.29897
53.470752,-2.299967
53.470863,-2.299975
53.47093,-2.3001
53.470972,-2.300234
53.470986,-2.300217
53.471011,-2.300187
53.471047,-2.300145
53.471088,-2.300109
53.47113,-2.300073
53.471211,-2.299967
53.471408,-2.299789
53.47175,-2.299678
53.471966,-2.297814
53.471966,-2.297812
53.471944,-2.297603
53.471925,-2.297467
53.47195,-2.297223
53.471913,-2.2974
53.471966,-2.297087
53.471986,-2.296914
53.471986,-2.296912
53.472011,-2.296814
53.472022,-2.29667
53.472072,-2.296189
53.472061,-2.295864
53.471683,-2.295387
53.471425,-2.295087
53.474056,-2.253161
53.474056,-2.253161
53.474056,-2.253161
53.474056,-2.253161
53.474056,-2.253161
53.474056,-2.253161
53.474056,-2.253161
53.474056,-2.253161
53.474056,-2.253161
53.474056,-2.253161
53.474056,-2.253161
53.474056,-2.253161
53.484846,-2.245157
53.475033,-2.254137
53.474056,-2.253161
53.48271,-2.223681
53.473919,-2.256364
53.472517,-2.260286
53.482844,-2.223123
53.479808,-2.228889
53.480202,-2.222878
53.475217,-2.241748
53.476555,-2.239575
53.487844,-2.270798
53.474469,-2.252512
53.474511,-2.254773
